ticker,sector
SATS,Communication Services
TME,Communication Services
RDDT,Communication Services
NTDOY,Communication Services
SIRI,Communication Services
ROKU,Communication Services
WMG,Communication Services
KT,Communication Services
NFLX,Communication Services
IPG,Communication Services
CMCSA,Communication Services
NWSA,Communication Services
DIS,Communication Services
OMC,Communication Services
FOXA,Communication Services
MTCH,Communication Services
LUMN,Communication Services
BCE,Communication Services
RCI,Communication Services
LBRDK,Communication Services
VZ,Communication Services
TU,Communication Services
TTD,Communication Services
CHTR,Communication Services
LYV,Communication Services
TTWO,Communication Services
FOX,Communication Services
VOD,Communication Services
FYBR,Communication Services
TMUS,Communication Services
GOOGL,Communication Services
PINS,Communication Services
GOOG,Communication Services
RBLX,Communication Services
T,Communication Services
TCEHY,Communication Services
VIV,Communication Services
AMX,Communication Services
META,Communication Services
NYT,Communication Services
SNAP,Communication Services
TIGO,Communication Services
SPOT,Communication Services
ASTS,Communication Services
EA,Communication Services
BIDU,Communication Services
BILI,Communication Services
PSKY,Communication Services
WBD,Communication Services
URBN,Consumer Discretionary
GAP,Consumer Discretionary
DKNG,Consumer Discretionary
FIVE,Consumer Discretionary
VFC,Consumer Discretionary
RCL,Consumer Discretionary
FLUT,Consumer Discretionary
CHWY,Consumer Discretionary
RIVN,Consumer Discretionary
DKS,Consumer Discretionary
LULU,Consumer Discretionary
MBLY,Consumer Discretionary
EAT,Consumer Discretionary
BBY,Consumer Discretionary
WSM,Consumer Discretionary
LCID,Consumer Discretionary
VIK,Consumer Discretionary
CZR,Consumer Discretionary
WHR,Consumer Discretionary
WH,Consumer Discretionary
CCL,Consumer Discretionary
BROS,Consumer Discretionary
W,Consumer Discretionary
MTH,Consumer Discretionary
LTH,Consumer Discretionary
GLBE,Consumer Discretionary
STLA,Consumer Discretionary
CUK,Consumer Discretionary
YUMC,Consumer Discretionary
SGHC,Consumer Discretionary
KMX,Consumer Discretionary
GIL,Consumer Discretionary
BIRK,Consumer Discretionary
TOL,Consumer Discretionary
BBWI,Consumer Discretionary
SGI,Consumer Discretionary
MGM,Consumer Discretionary
LVS,Consumer Discretionary
JD,Consumer Discretionary
ROST,Consumer Discretionary
TMHC,Consumer Discretionary
LEN,Consumer Discretionary
HAS,Consumer Discretionary
WYNN,Consumer Discretionary
FND,Consumer Discretionary
LKQ,Consumer Discretionary
EBAY,Consumer Discretionary
NKE,Consumer Discretionary
HRB,Consumer Discretionary
DHI,Consumer Discretionary
PLNT,Consumer Discretionary
AS,Consumer Discretionary
EDU,Consumer Discretionary
BYD,Consumer Discretionary
BWA,Consumer Discretionary
MAT,Consumer Discretionary
SN,Consumer Discretionary
TCOM,Consumer Discretionary
PHM,Consumer Discretionary
APTV,Consumer Discretionary
ETSY,Consumer Discretionary
NCLH,Consumer Discretionary
CAVA,Consumer Discretionary
GPC,Consumer Discretionary
ARMK,Consumer Discretionary
MCD,Consumer Discretionary
TJX,Consumer Discretionary
ONON,Consumer Discretionary
QSR,Consumer Discretionary
MGA,Consumer Discretionary
DASH,Consumer Discretionary
CMG,Consumer Discretionary
ATAT,Consumer Discretionary
AMZN,Consumer Discretionary
LEVI,Consumer Discretionary
F,Consumer Discretionary
SBUX,Consumer Discretionary
MAR,Consumer Discretionary
DUOL,Consumer Discretionary
ABNB,Consumer Discretionary
TPR,Consumer Discretionary
DRI,Consumer Discretionary
GM,Consumer Discretionary
ORLY,Consumer Discretionary
BABA,Consumer Discretionary
SE,Consumer Discretionary
ADT,Consumer Discretionary
PDD,Consumer Discretionary
LOW,Consumer Discretionary
VVV,Consumer Discretionary
HD,Consumer Discretionary
CPNG,Consumer Discretionary
OLLI,Consumer Discretionary
SKX,Consumer Discretionary
SONY,Consumer Discretionary
VIPS,Consumer Discretionary
GNTX,Consumer Discretionary
YUM,Consumer Discretionary
GME,Consumer Discretionary
EXPE,Consumer Discretionary
LI,Consumer Discretionary
DECK,Consumer Discretionary
HTHT,Consumer Discretionary
LNW,Consumer Discretionary
TSCO,Consumer Discretionary
SRAD,Consumer Discretionary
XPEV,Consumer Discretionary
MOD,Consumer Discretionary
TAL,Consumer Discretionary
CVNA,Consumer Discretionary
NIO,Consumer Discretionary
TSLA,Consumer Discretionary
QS,Consumer Discretionary
EL,Consumer Staples
SJM,Consumer Staples
STZ,Consumer Staples
ELF,Consumer Staples
DLTR,Consumer Staples
DEO,Consumer Staples
TGT,Consumer Staples
TSN,Consumer Staples
CPB,Consumer Staples
CHD,Consumer Staples
KHC,Consumer Staples
TAP,Consumer Staples
CAG,Consumer Staples
GIS,Consumer Staples
HRL,Consumer Staples
KDP,Consumer Staples
SFM,Consumer Staples
BTI,Consumer Staples
MKC,Consumer Staples
LW,Consumer Staples
PRMB,Consumer Staples
KMB,Consumer Staples
BUD,Consumer Staples
PM,Consumer Staples
PPC,Consumer Staples
UL,Consumer Staples
DG,Consumer Staples
CL,Consumer Staples
KO,Consumer Staples
CLX,Consumer Staples
USFD,Consumer Staples
JBS,Consumer Staples
PEP,Consumer Staples
PG,Consumer Staples
BG,Consumer Staples
CCEP,Consumer Staples
SFD,Consumer Staples
PFGC,Consumer Staples
HSY,Consumer Staples
K,Consumer Staples
CELH,Consumer Staples
MDLZ,Consumer Staples
ACI,Consumer Staples
ADM,Consumer Staples
BF-B,Consumer Staples
SYY,Consumer Staples
COST,Consumer Staples
BJ,Consumer Staples
MO,Consumer Staples
KVUE,Consumer Staples
WMT,Consumer Staples
CART,Consumer Staples
MNST,Consumer Staples
KR,Consumer Staples
YPF,Energy
CCJ,Energy
MTDR,Energy
COP,Energy
PR,Energy
BP,Energy
EOG,Energy
UEC,Energy
DVN,Energy
PSX,Energy
SLB,Energy
OVV,Energy
EC,Energy
DINO,Energy
MPC,Energy
FANG,Energy
VG,Energy
VNOM,Energy
HESM,Energy
BKR,Energy
SHEL,Energy
OXY,Energy
CVX,Energy
